system   D            wsystem.c:583  maybe_parent_dir                 [   0.00174] Also searching C:\Users\Mario\Desktop\C++\2048\
display  D   display_settings.c:191  debug_display_settings           [   0.03878] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03880] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03882] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03884] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03886] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03888] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03889] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03891] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03893] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03895] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03896] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03898] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03900] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03902] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03904] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03906] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03907] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03909] Single Buffer requirement not met.
